part_id|part_definition_id|part_product_class_id|common_part_catalog_id|preferred_supplier_id|part_family_id|stock_card_create_date|part_season
43076|1260|424|3|1|1|2014-05-14|NULL
43135|1939|415|3|1|1|2018-08-02|NULL
43186|1327|492|3|1|1|2013-05-17|NULL
43243|5323|441|3|1|1|2018-03-27|NULL
43343|5360|417|22|1|2|2010-06-22|NULL
43474|4444|261|16|2|275|2014-02-14|Kış Mevsimsel
44099|3128|197|16|2|180|2013-01-16|NULL
44144|9492|424|6|5|180|2014-02-27|NULL
44170|402|466|6|5|275|2014-03-21|NULL
44281|10196|427|3|1|2|2011-11-30|NULL
44394|4687|470|3|1|1|2015-09-28|NULL
44662|5214|466|3|1|2|2009-07-09|NULL
44748|5025|487|6|5|341|2014-01-24|NULL
44750|2468|487|6|5|341|2014-02-14|NULL
44859|11918|466|6|5|275|2014-02-14|NULL
44889|4701|470|6|5|341|2014-04-21|NULL
44923|6687|197|6|5|180|2014-04-21|NULL
44943|3565|261|6|5|275|2014-10-14|Kış Mevsimsel
44990|3601|195|6|5|231|2014-02-18|NULL
45240|3419|195|3|1|2|2005-05-13|NULL
45284|4949|616|3|1|1|2015-11-18|NULL
45621|1972|459|3|1|2|2008-05-09|NULL
45756|4055|454|3|1|2|2009-06-17|NULL
45958|4587|202|24|1|1|2015-04-22|NULL
46045|3298|474|3|1|2|2009-07-01|NULL
46052|1916|488|3|1|2|2012-06-18|NULL
46079|4380|225|10|1|1|2017-02-15|NULL
46086|4186|616|3|1|1|2016-04-06|NULL
46144|7694|426|3|1|1|2016-10-25|NULL
46249|2145|487|3|1|1|2016-04-06|NULL
46268|2800|487|10|1|1|2017-01-05|NULL
46406|3298|473|32|1|1|2016-04-08|NULL
46730|6021|366|3|1|1|2017-05-25|Yaz Mevsimsel
47075|2636|487|5|2|1|2014-03-28|NULL
47110|1232|416|5|2|1|2008-03-20|NULL
47153|7636|422|5|2|1|2010-10-27|NULL
47158|9156|426|5|2|1|2009-05-18|NULL
47239|8126|569|32|1|1|2016-01-19|NULL
47250|8132|510|32|1|2|2013-06-19|NULL
47322|4423|582|32|1|1|2017-02-14|NULL
47493|215|299|32|1|1|2016-01-06|NULL
47617|6466|335|4|1|2|2014-11-25|NULL
47904|6166|483|21|1|2|2014-03-14|NULL
47959|10852|261|32|1|1|2017-09-12|Kış Mevsimsel
48023|7054|245|32|1|341|2016-03-23|NULL
48164|4808|261|32|1|1|2016-05-03|Kış Mevsimsel
48259|3863|314|5|2|1|2017-01-20|NULL
48337|5990|370|32|1|1|2016-06-02|Yaz Mevsimsel
48423|323|401|3|1|1|2019-01-22|NULL
48563|3395|586|32|1|1|2019-03-08|NULL
48571|3795|138|32|1|1|2019-07-03|Kış Mevsimsel
48628|9685|572|32|1|1|2014-04-01|Kış Mevsimsel
48869|6016|371|3|1|1|2017-01-25|Yaz Mevsimsel
48907|9000|248|32|1|1|2015-12-28|NULL
48946|6374|237|3|1|1|2016-03-30|NULL
49298|1992|256|5|2|1|2018-10-11|Kış Mevsimsel
49332|840|425|5|2|1|2017-10-09|NULL
49534|5517|426|5|2|1|2013-09-09|NULL
49592|10218|467|5|2|1|2015-09-14|NULL
49816|785|394|5|2|1|2010-10-11|NULL
49880|3298|473|5|2|1|2008-11-05|NULL
49957|7108|466|5|2|1|2010-07-22|NULL
52545|11499|221|21|1|1|2017-04-18|NULL
52773|11547|414|6|5|275|2015-02-13|NULL
53323|7187|492|7|1|2|2004-12-24|NULL
53605|9157|555|7|1|1|2018-04-25|NULL
53775|8911|201|7|1|432|2004-12-24|NULL
53835|9190|572|7|1|2|2011-01-13|Kış Mevsimsel
53838|9685|572|7|1|2|2012-10-17|Kış Mevsimsel
53971|2934|115|7|1|2|2012-01-24|NULL
54193|5990|370|7|1|1|2016-03-08|Yaz Mevsimsel
54264|10345|487|7|1|1|2013-02-13|NULL
54386|9807|446|7|1|1|2016-10-21|NULL
54409|11861|466|7|1|1|2015-09-14|NULL
54610|9678|266|7|1|1|2020-07-20|NULL
54651|10301|184|7|1|2|2013-12-09|Kış Mevsimsel
54820|10056|401|7|1|1|2016-05-18|NULL
54827|11557|446|7|1|1|2016-05-02|NULL
54993|336|309|7|1|1|2017-08-10|NULL
55082|4407|618|7|1|2|2006-03-29|NULL
55146|9175|293|7|1|2|2005-09-06|NULL
55156|206|306|7|1|546|2004-12-24|NULL
55305|11611|487|7|1|2|2004-12-24|NULL
55396|3913|487|7|1|2|2010-06-30|NULL
55438|9666|487|7|1|2|2004-12-24|NULL
55757|10112|399|7|1|2|2004-12-24|NULL
56025|338|303|9|1|471|2004-12-24|NULL
56059|1393|335|9|1|2|2005-04-18|NULL
56081|1734|487|9|1|2|2004-12-24|NULL
56205|6625|367|23|1|536|2004-12-24|Yaz Mevsimsel
56468|3559|555|3|1|2|2006-12-27|NULL
56517|7180|416|3|1|2|2004-12-24|NULL
56642|693|492|3|1|2|2006-05-10|NULL
56664|2145|550|10|1|2|2005-05-17|NULL
56752|9979|261|9|1|2|2007-10-17|Kış Mevsimsel
57330|158|318|3|1|1|2020-06-02|NULL
57353|755|391|3|1|1|2016-02-24|NULL
57537|2228|403|3|1|2|2011-02-08|NULL
57590|9148|426|3|1|2|2010-04-26|NULL
57693|10472|466|3|1|2|2010-04-26|NULL
58431|1734|487|4|1|1|2018-06-27|NULL
58439|5456|487|4|1|1|2017-09-05|NULL
58487|682|445|4|1|1|2016-10-12|NULL
58502|2255|397|4|1|1|2016-10-12|NULL
58512|5226|397|4|1|1|2016-10-11|NULL
58520|1069|414|4|1|1|2016-10-11|NULL
58588|3565|426|4|1|1|2016-10-12|NULL
58726|3059|110|32|1|548|2004-12-24|NULL
59123|11025|335|39|1|2|2006-12-05|NULL
59240|10236|426|4|1|2|2004-12-30|NULL
59244|10325|426|4|1|532|2004-12-24|NULL
59320|2228|403|13|1|2|2004-12-30|NULL
59624|10345|266|13|1|2|2004-12-24|NULL
59815|9582|197|4|1|2|2004-12-30|NULL
59965|1734|487|4|1|2|2007-05-11|NULL
60026|1972|459|4|1|1|2014-04-28|NULL
60205|4227|572|4|1|1|2016-03-31|Kış Mevsimsel
60256|6708|541|34|1|2|2010-07-14|NULL
60400|9924|360|4|1|1|2010-02-01|NULL
60485|198|310|4|1|2|2010-06-15|NULL
60688|2313|426|4|1|2|2008-01-07|NULL
60770|785|394|4|1|2|2008-02-26|NULL
60783|6460|377|4|1|2|2010-03-02|Yaz Mevsimsel
60922|5262|469|4|1|2|2008-03-11|NULL
61051|1585|472|4|1|2|2011-06-07|NULL
61664|8196|197|4|1|2|2011-09-30|NULL
61877|10192|423|4|1|2|2008-10-16|NULL
61969|10345|487|13|1|2|2007-02-14|NULL
62030|6053|481|4|1|2|2010-09-02|NULL
62160|1090|489|4|1|2|2011-02-11|NULL
62396|11561|467|4|1|2|2004-12-24|NULL
62418|3298|474|4|1|2|2016-06-21|NULL
62476|4949|426|4|1|2|2005-06-24|NULL
62556|6486|627|4|1|2|2012-07-09|NULL
62768|9480|424|4|1|2|2010-03-26|NULL
62790|10218|426|4|1|2|2010-01-25|NULL
62873|7186|415|4|1|2|2010-01-14|NULL
62916|3913|487|4|1|1|2015-01-14|NULL
62992|2484|397|4|1|2|2014-07-21|NULL
63284|2857|291|4|1|1|2016-01-21|NULL
63656|10591|426|4|1|2|2012-04-17|NULL
63776|5923|487|4|1|2|2010-02-09|NULL
63978|9678|261|9|1|2|2008-12-15|Kış Mevsimsel
63992|3525|265|4|1|2|2010-12-16|NULL
64043|4949|426|4|1|2|2009-08-31|NULL
49563|2670|487|5|2|1|2012-01-09|NULL
49579|11557|446|5|2|1|2012-06-08|NULL
49666|4949|555|5|2|1|2012-02-13|NULL
49688|2012|261|5|2|1|2008-07-04|Kış Mevsimsel
49922|10184|426|5|2|1|2010-10-11|NULL
50272|5556|440|5|2|1|2006-02-02|NULL
50461|7636|422|5|2|1|2006-02-03|NULL
50531|5823|335|32|1|2|2004-12-24|NULL
50547|4320|578|25|1|556|2004-12-24|NULL
50652|7956|198|3|1|430|2004-12-24|NULL
50752|1139|467|5|2|1|2016-10-19|NULL
50885|5726|335|32|1|2|2004-12-24|NULL
51018|7654|426|3|1|2|2005-04-04|NULL
51228|4333|184|24|1|2|2004-12-24|Kış Mevsimsel
51334|11009|618|24|1|2|2008-03-04|NULL
51375|8899|256|3|1|2|2004-12-24|Kış Mevsimsel
51488|1734|487|3|1|2|2007-12-17|NULL
51518|493|199|3|1|410|2011-03-07|NULL
51773|1734|147|32|1|2|2013-06-27|NULL
51898|4886|372|32|1|2|2011-08-09|Kış Mevsimsel
52060|6134|493|25|1|2|2012-01-18|NULL
52135|9151|196|3|1|2|2009-10-06|NULL
52295|10670|492|3|1|2|2012-05-29|NULL
52918|1986|271|10|1|2|2005-04-25|Kış Mevsimsel
53131|6979|459|6|5|231|2014-04-21|NULL
53187|10016|467|6|5|231|2014-03-14|NULL
53386|9610|197|7|1|410|2004-12-24|NULL
53777|1734|266|35|1|2|2004-12-24|NULL
53974|9924|360|7|1|2|2012-04-20|NULL
54032|211|306|7|1|2|2009-08-31|NULL
54094|4988|487|7|1|1|2018-01-10|NULL
54296|10832|487|7|1|1|2015-05-26|NULL
54303|5832|487|7|1|2|2004-12-24|NULL
54348|5864|487|7|1|1|2016-11-29|NULL
54358|9823|250|7|1|1|2019-06-25|Yaz Mevsimsel
54471|6166|483|7|1|1|2016-11-14|NULL
54634|4650|563|7|1|1|2016-09-19|NULL
54663|2857|291|7|1|1|2019-11-12|NULL
54692|11602|392|7|1|2|2015-06-30|NULL
54788|3419|203|7|1|1|2015-12-31|NULL
54983|3565|555|7|1|1|2016-04-14|NULL
54987|3570|257|7|1|1|2016-04-14|Kış Mevsimsel
55217|7714|487|7|1|2|2015-06-03|NULL
55333|6018|458|7|1|2|2007-01-23|NULL
55447|10827|487|7|1|2|2004-12-24|NULL
55644|9111|179|16|2|231|2010-10-25|Kış Mevsimsel
55988|338|303|3|1|2|2006-12-27|NULL
56011|2729|329|9|1|2|2006-11-28|NULL
56014|2145|550|23|1|2|2004-12-24|NULL
56049|5934|147|9|1|462|2007-05-23|NULL
56144|4949|487|3|1|2|2010-04-19|NULL
56145|4949|487|3|1|2|2010-09-28|NULL
56483|2228|403|3|1|457|2004-12-24|NULL
56603|1052|411|3|1|407|2004-12-24|NULL
56669|3419|204|3|1|2|2006-03-21|NULL
56761|4276|572|4|1|2|2014-12-05|Kış Mevsimsel
56780|3956|336|4|1|2|2006-02-28|NULL
56838|9812|391|7|1|1|2020-08-10|NULL
56972|8121|410|5|2|1|2004-12-24|NULL
57012|8303|297|10|1|2|2014-12-15|NULL
57071|7479|390|10|1|1|2013-01-16|NULL
57256|1734|624|3|1|2|2011-02-07|NULL
57274|1528|618|3|1|2|2011-05-24|NULL
57346|7151|470|3|1|2|2010-04-26|NULL
57429|9703|563|23|1|1|2016-08-17|NULL
57465|3419|204|3|1|1|2014-09-25|NULL
57621|10604|487|3|1|2|2010-04-26|NULL
57690|10218|426|3|1|1|2014-09-25|NULL
57691|10218|426|3|1|2|2010-04-26|NULL
57745|4596|489|3|1|2|2011-06-27|NULL
57803|9151|196|3|1|1|2017-12-25|NULL
58111|2278|487|4|1|1|2017-02-02|NULL
58188|2255|467|4|1|1|2017-05-04|NULL
58428|2667|487|4|1|1|2016-10-11|NULL
58483|5191|446|4|1|1|2016-10-12|NULL
58508|6950|397|4|1|1|2016-10-12|NULL
58513|5226|397|4|1|1|2016-10-11|NULL
58609|11547|489|4|1|1|2016-10-12|NULL
58664|4826|261|39|1|2|2004-12-24|Kış Mevsimsel
58731|10852|365|22|1|2|2004-12-24|Yaz Mevsimsel
59071|1734|365|4|1|2|2004-12-24|Yaz Mevsimsel
59281|4949|426|4|1|2|2004-12-30|NULL
59103|8668|303|13|1|2|2008-05-07|NULL
59185|7512|129|13|1|2|2004-12-30|NULL
59424|5206|467|13|1|436|2004-12-24|NULL
59442|1068|414|4|1|407|2004-12-24|NULL
59622|9671|254|13|1|2|2004-12-30|NULL
59631|9676|266|4|1|2|2004-12-24|NULL
59708|9685|375|13|1|2|2006-04-03|NULL
60072|504|199|4|1|1|2017-03-31|NULL
60199|4276|572|4|1|2|2015-01-21|Kış Mevsimsel
